user_id,movie_id,user_rating,timestamp
user_1,108,4,1615603883
user_1,142,5,1693098480
user_1,89,5,1646587388
user_1,133,4,1571092010
user_1,14,3,1521009870
user_1,12,3,1453344390
user_1,28,2,1490598711
user_1,143,5,1429430981
user_1,74,4,1599790068
user_1,147,5,1604732642
user_1,39,1,1628957348
user_1,42,5,1703458197
user_1,109,5,1512495474
user_1,120,3,1655373138
user_1,46,3,1565460018
user_1,61,3,1544857696
user_1,125,3,1591983113
user_1,19,4,1696446146
user_1,131,4,1495068708
user_1,110,3,1470465498
user_1,83,4,1517727468
user_1,71,2,1617654583
user_1,8,3,1621972090
user_1,129,4,1526805042
user_1,59,4,1441603364
user_2,30,5,1547387964
user_2,114,3,1626209895
user_2,52,4,1590443521
user_2,87,4,1430746450
user_2,50,1,1535466120
user_2,70,4,1660558735
user_2,116,3,1579162663
user_2,45,2,1468221194
user_2,96,5,1471049568
user_2,61,5,1630493741
user_2,137,5,1512633318
user_2,32,3,1639721622
user_2,35,2,1539998626
user_2,16,5,1453492536
user_2,130,4,1574032138
user_2,6,2,1557165204
user_2,143,4,1628749787
user_2,63,1,1570114786
user_2,68,5,1661646676
user_3,127,3,1644776332
user_3,21,4,1570265469
user_3,83,3,1568488461
user_3,4,4,1422151146
user_3,95,4,1430037593
user_3,111,3,1435230534
user_3,59,5,1518001667
user_3,146,5,1502620055
user_3,86,5,1697490990
user_3,117,5,1567045721
user_3,49,4,1501767857
user_3,139,5,1550848323
user_3,137,2,1454270507
user_3,85,3,1492648113
user_3,62,1,1599559070
user_3,15,4,1461340465
user_3,54,4,1516462588
user_3,97,3,1455898253
user_3,34,5,1628930015
user_3,105,4,1594843841
user_4,62,3,1685998622
user_4,45,4,1540247858
user_4,136,2,1644235180
user_4,61,5,1693558877
user_4,119,2,1441068630
user_4,52,5,1604490859
user_4,80,5,1514695053
user_4,111,3,1694736406
user_4,126,1,1429615465
user_4,83,5,1453526053
user_4,72,5,1516855331
user_4,82,5,1602713173
user_4,125,5,1554592442
user_4,24,2,1585466307
user_4,29,4,1614811069
user_4,67,2,1500885792
user_4,58,5,1553922545
user_5,82,4,1655616419
user_5,49,4,1599006392
user_5,118,2,1603395532
user_5,2,3,1574838336
user_5,78,4,1649753474
user_5,87,5,1599157342
user_5,56,4,1506628920
user_5,104,5,1432729411
user_5,126,4,1586488986
user_5,114,2,1565067992
user_5,21,5,1481945388
user_5,80,5,1572855737
user_5,51,4,1629210712
user_5,38,5,1491960633
user_5,67,4,1611297372
user_5,27,4,1596626082
user_6,150,4,1604182248
user_6,140,1,1486252536
user_6,56,2,1445934155
user_6,65,1,1435539447
user_6,68,4,1593289363
user_6,70,3,1617172418
user_6,122,4,1627523404
user_6,130,5,1490618344
user_6,101,3,1694405678
user_6,74,4,1564070300
user_6,14,5,1434683283
user_6,1,3,1444407536
user_6,33,2,1547972290
user_6,126,3,1547137798
user_6,92,3,1521075594
user_6,44,5,1674189987
user_6,59,5,1547963450
user_6,51,4,1514257953
user_6,55,5,1440507995
user_6,111,5,1518347510
user_6,121,3,1439173612
user_6,80,5,1676221092
user_6,105,4,1694256007
user_6,145,5,1523643991
user_7,61,5,1432866343
user_7,80,3,1430636150
user_7,104,2,1534959052
user_7,4,3,1461781576
user_7,95,4,1597198217
user_7,43,5,1558202161
user_7,88,5,1574836265
user_7,73,1,1475950110
user_7,17,4,1684027735
user_7,36,4,1526911712
user_7,115,3,1443075148
user_7,106,2,1428000835
user_7,75,4,1548308246
